FUNC_ID,FUNC_TYPE,DESCRIPTION
threshold_wbc,transform,"threshold(0.01, 70)"
hemorrhagic_shock_update,derive,TBD
convert_bun_to_real,transform,if value == '<3' then 3; else return real(value)
shock_idx_update,derive,ref Arch folder
minutes_since_last_cmi_update,derive,ref Arch folder
ards_update,derive,1 at estimated time of ARDS diagnosis
sbpm_update,derive,ref Arch folder
bronchitis_update,derive,1 at estimated time of bronchitis diagnosis
threshold_bun,transform,"threshold(0.1, 180)"
minutes_since_organ_fail_update,derive,ref Arch folder
convert_proc_to_boolean,transform,load start and end time
transform_ddimer,transform,"turn unit mg/L to mg/L REU"
threshold_fluids_intake,transform,"threshold(0,500000)"
