dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
7,mi_update,derive,calculate mi
7,threshold_pao2,transform,"threshold(0.1, 500)"
7,suspicion_of_infection_update,derive,ref Arch folder
7,threshold_nbp_sys,transform,"threshold(30 , 250)"
7,convert_dialysis_to_binary,transform,indicator 1 when dialysis performed
7,metabolic_acidosis_update,derive,calculate metabolic acidosis
7,fillin,fillin,Fills the missing data in a TWF feature by copying the latest valid value to the gap
7,sirs_resp_oor_update,derive,ref Arch folder
7,convert_penicillin_dose,transform,convert to million unit
7,convert_ounces_to_kg,transform,Convet Onces (weight) to Kgs
7,piperacillin_tazbac_dose_to_mg,transform,"if unit == 'mg of piperacillin', then return the value in mg; else return convert_to_mg"
7,threshold_abp_sys,transform,"threshold(30 , 300)"
7,load_discharge_json,transform,load discharge into json format including department and disposition
7,convert_amoxicillin_dose_to_mg,transform,if MedUnit=='tablet' then Dose = Dose*medication_unit
7,acute_kidney_failure_update,derive,1 at estimated time of kidney failure diagnosis
7,pulmonary_emboli_update,derive,1 at estimated time of pulmonary emboli diagnosis
7,treatment_within_6_hours_update,derive,Indicator of whether a treatment was received in past 6 hours
7,convert_care_unit_hc_epic,transform,generate care_unit for HC_EPIC
7,threshold_temperature,transform,"threshold(80, 110)"
7,sirs_intp_update,derive,ref Arch folder
7,any_pressor_update,derive,need description
7,vasopressor_resuscitation_update,derive,ref Arch folder
7,hematologic_sofa_update,derive,ref Arch folder
7,convert_co2_to_real,transform,convert co2 to real
7,septic_shock_update,derive,ref Arch folder
7,convert_arterial_ph_to_real,transform,if value == '<6.79' then 6.79; else return float(value)
7,convert_inr_to_real,transform,if value start with '>' then return real(value[1:]); else return real(value)
7,sirs_wbc_oor_update,derive,ref Arch folder
7,convert_creatinine_to_real,transform,if value == '<0.1' then 0.1; else return real(value)
7,acute_organ_failure_update,derive,ref Arch folder
7,default_convert_dose,transform,directly convert dose
7,threshold_weight,transform,"threshold(20, 300)"
7,fluids_intake_3hr,derive,sum up fluids intake within 3 hours
7,threshold_heart_rate,transform,"threshold(20, 300)"
7,threshold_wbc,transform,"threshold(0.01, 70)"
7,hemorrhagic_shock_update,derive,TBD
7,convert_bun_to_real,transform,if value == '<3' then 3; else return real(value)
7,shock_idx_update,derive,ref Arch folder
7,minutes_since_last_cmi_update,derive,ref Arch folder
7,ards_update,derive,1 at estimated time of ARDS diagnosis
7,sbpm_update,derive,ref Arch folder
7,bronchitis_update,derive,1 at estimated time of bronchitis diagnosis
7,threshold_bun,transform,"threshold(0.1, 180)"
7,minutes_since_organ_fail_update,derive,ref Arch folder
7,convert_proc_to_boolean,transform,load start and end time
