fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit
nbp_dias,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,mmHg
nbp_mean,TWF,Real,no,no,,,nbp_mean_update,"nbp_dias, nbp_sys","Physiologic, mean of NonInvasive blood pressure",1,mmHg
nbp_sys,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,mmHg
neurologic_sofa,TWF,Integer,no,no,,,neurologic_sofa_update,gcs,"vital-sign based,  it should not be sparse",1,no unit
paco2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
pao2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
pao2_to_fio2,TWF,Real,no,no,,,pao2_to_fio2_update,"pao2, fio2","vital sign based, it should not be sparse",1,mmHg
platelets,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,103/ul
potassium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
rass,TWF,Real,yes,no,last_value_in_window,5,,,Physiologic,1,no unit
renal_sofa,TWF,Integer,no,no,,,renal_sofa_update,"creatinine, urine_output_24hr",it should not be sparse,1,no unit
resp_rate,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,breath per min
resp_sofa,TWF,Integer,no,no,,,resp_sofa_update,"vent, pao2_to_fio2",,1,no unit
sbpm,TWF,Real,no,no,,,sbpm_update,"abp_sys, nbp_sys","Systolic blood pressure,  it should not be sparse",1,mmHg
septic_shock,TWF,Integer,no,no,,,septic_shock_update,"severe_sepsis,  hypotension_intp, lactate, fluid_resuscitation, vasopressor_resuscitation","mix of lab, vital signs, and history",1,no unit
septic_shock_iii,TWF,Integer,no,no,,,septic_shock_iii_update,"suspicion_of_infection,qsofa,worst_sofa, fluid_resuscitation, hypotension_intp,vasopressor_resuscitation,lactate",Whether patient has septic shock using 2016 consensus definition,1,no unit
obstructive_pe_shock,TWF,Integer,no,no,,,obstructive_pe_shock_update,"lactate, ddimer, spo2, heart_rate",screening label,1,no unit
hemoglobin_change,TWF,Real,no,no,,,change_since_last_measured,hemoglobin,hemoglobin change since last measured,1,no unit
hemoglobin_minutes_since_measurement,TWF,Real,no,yes,,,time_since_last_measured,hemoglobin,minutes since last measured,1,no unit
hemorrhagic_shock,TWF,Integer,no,no,,,hemorrhagic_shock_update,"transfuse_rbc, lactate, sbpm",screening label,1,no unit
severe_sepsis,TWF,Boolean,no,no,,,severe_sepsis_update,"sirs_intp, acute_organ_failure, sepsis_note,infections_angus_diag, infections_angus_hist","mix of lab and vital signs, check whether severe sepsis has occurred,  it should not be sparse",1,no unit
acute_organ_failure,TWF,Boolean,no,no,,,acute_organ_failure_update,"inr, platelets, creatinine, chronic_kidney_hist, bilirubin, liver_disease_hist, urine_output_24hr, lactate, pao2_to_fio2, chronic_pulmonary_hist, hypotension_intp","check whether the organ-failure criteria for severe sepsis was met, it should not be sparse",1,no unit
shock_idx,TWF,Real,no,no,,,shock_idx_update,"heart_rate, sbpm","vital signs-based, it should not be sparse",1,beats per min/mmHg
sirs_hr_oor,TWF,Boolean,no,no,,,sirs_hr_oor_update,heart_rate,"vital sign based,  it should not be sparse",1,no unit
sirs_intp,TWF,Boolean,no,no,,,sirs_intp_update,sirs_raw,it should not be sparse,1,no unit
sirs_raw,TWF,Boolean,no,no,,,sirs_raw_update,"sirs_temperature_oor, sirs_hr_oor, sirs_resp_oor, sirs_wbc_oor","mix of lab and vital signs, it should not be sparse",1,no unit
sirs_resp_oor,TWF,Boolean,no,no,,,sirs_resp_oor_update,"resp_rate, paco2","vital signs based,  it should not be sparse",1,no unit
sirs_temperature_oor,TWF,Boolean,no,no,,,sirs_temperature_oor_update,temperature,it should not be sparse,1,no unit
sirs_wbc_oor,TWF,Boolean,no,no,,,sirs_wbc_oor_update,wbc,it should not be sparse,1,no unit
sodium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
spo2,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, Peripheral capillary oxygen saturation",1,%
fluid_resuscitation,TWF,Boolean,no,no,,,fluid_resuscitation_update,"fluids_intake_3hr,weight",,1,no unit
vasopressor_resuscitation,TWF,Boolean,no,no,,,vasopressor_resuscitation_update,"levophed_infusion_dose,dopamine_dose",,1,no unit
temperature,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,Fahrenheit
urine_output_24hr,TWF,Real,no,no,,,urine_output_24hr,urine_output,Physiologic,1,ml
urine_output_6hr,TWF,Real,no,no,,,urine_output_6hr,urine_output,Physiologic,1,ml
wbc,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,K/mm3
weight,TWF,Real,yes,no,last_value_in_window,168,,,Phyiologic,1,kg
worst_sofa,TWF,Integer,no,no,,,worst_sofa_update,"resp_sofa, hepatic_sofa, hematologic_sofa, cardio_sofa, neurologic_sofa, renal_sofa",it should not be sparse,1,no unit
rapamycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
dobutamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
qsofa,TWF,Integer,no,no,,,qsofa_update,"resp_rate, sbpm, gcs",it should not be sparse,1,no unit
suspicion_of_infection,T,Boolean,no,no,,,suspicion_of_infection_update,"culture_order, any_antibiotics_order",return True if suspicion_of_infection criteria satisfy,1,no unit
amylase,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,Units/L
lipase,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,Units/L
asthma_hist,S,Boolean,yes,no,,,,,History,1,no unit
asthma_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
asthma_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
bronchiectasis_hist,S,Boolean,yes,no,,,,,History,1,no unit
bronchiectasis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
bronchiectasis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
chronic_airway_obstruction_hist,S,Boolean,yes,no,,,,,History,1,no unit
chronic_airway_obstruction_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
chronic_airway_obstruction_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
chronic_bronchitis_hist,S,Boolean,yes,no,,,,,History,1,no unit
chronic_bronchitis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
chronic_bronchitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
emphysema_hist,S,Boolean,yes,no,,,,,History,1,no unit
emphysema_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
emphysema_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
esrd_hist,S,Boolean,yes,no,,,,,History,1,no unit
esrd_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
esrd_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
hypersensitivity_pneumonitis_hist,S,Boolean,yes,no,,,,,History,1,no unit
hypersensitivity_pneumonitis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
hypersensitivity_pneumonitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
acute_pancreatitis,TWF,integer,no,no,,,acute_pancreatitis_update,"lipase, amylase",event,1,no unit
heart_arrhythmias_hist,S,Boolean,yes,no,,,,,History,1,no unit
heart_arrhythmias_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
heart_arrhythmias_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
pancreatitis_chronic_hist,S,Boolean,yes,no,,,,,History,1,no unit
pancreatitis_chronic_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
pancreatitis_chronic_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
immunodeficiency_hist,S,Boolean,yes,no,,,,,History,1,no unit
immunodeficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
immunodeficiency_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
metabolic_acidosis,TWF,int,no,no,,,metabolic_acidosis_update,"arterial_ph, bicarbonate",event,1,no unit
mi,TWF,int,no,no,,,mi_update,troponin,event,1,no unit
aclidinium_dose,T,JSON,yes,no,,,,,Medication,1,puff|Inhaler
albuterol_dose,T,Real,yes,no,,,,,Medication,,mg
amiodarone_dose,T,JSON,yes,no,,,,,Medication,1,mg or mg/min if given by IV
carvedilol_dose,T,JSON,yes,no,,,,,Medication,1,mg
lisinopril_dose,T,JSON,yes,no,,,,,Medication,1,mg
clonidine_dose,T,JSON,yes,no,,,,,Medication,1,mg
dexamethasone_dose,T,JSON,yes,no,,,,,Medication,1,mg
doxazosin_dose,T,JSON,yes,no,,,,,Medication,1,mg
enalapril_dose,T,JSON,yes,no,,,,,Medication,1,mg
enalaprilat_dose,T,JSON,yes,no,,,,,Medication,1,mg
epogen_dose,T,JSON,yes,no,,,,,Medication,1,Units
etomidate_dose,T,JSON,yes,no,,,,,Medication,1,mg
hydralazine_dose,T,JSON,yes,no,,,,,Medication,1,mg
diazepam_dose,T,JSON,yes,no,,,,,Medication,1,mg
diltiazem_dose,T,JSON,yes,no,,,,,Medication,1,mg
furosemide_dose,T,JSON,yes,no,,,,,Medication,1,mg
levalbuterol_dose,T,JSON,yes,no,,,,,Medication,1,mg
lidocaine_dose,T,JSON,yes,no,,,,,Medication,1,mg
lorazepam_dose,T,JSON,yes,no,,,,,Medication,1,mg
midazolam_dose,T,JSON,yes,no,,,,,Medication,1,mg
phenytoin_dose,T,JSON,yes,no,,,,,Medication,1,mg
propofol_dose,T,JSON,yes,no,,,,,Medication,1,mg
ramipril_dose,T,JSON,yes,no,,,,,Medication,1,mg
salmeterol_dose,T,JSON,yes,no,,,,,Medication,1,Puff
sotalol_dose,T,JSON,yes,no,,,,,Medication,1,mg
theophylline_dose,T,JSON,yes,no,,,,,Medication,1,mg
tiotropium_dose,T,JSON,yes,no,,,,,Medication,1,mg
verapamil_dose,T,JSON,yes,no,,,,,Medication,1,mg
moxifloxacin_dose,T,JSON,yes,no,,,,,Medication,1,mg
acute_liver_failure,TWF,Integer,no,no,,,acute_liver_failure_update,"inr,gcs,liver_disease_hist",Whether patient has acute liver failure,1,no unit
hemorrhage,T,Integer,no,no,,,hemorrhage_update,transfuse_rbc,Whether there is a new hemorrhage,1,no unit
bicarbonate,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,Units/L
transfuse_rbc,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
transfuse_plasma,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
transfuse_platelets,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
transfuse_cryoprecipitate,T,Boolean,yes,no,,,,,Whether patient received transfusion,1,no unit
intubation,T,Boolean,yes,no,,,,,Want to know time of placement,1,no unit
discharge,T,JSON,yes,no,,,,,includes discharge department and disposition,1,no unit
bacterial_culture,T,String,yes,no,,,,,Procedure,1,
uro_sepsis,T,String,yes,no,,,,,,,
pneumonia_sepsis,T,String,yes,no,,,,,,,
biliary_sepsis,T,String,yes,no,,,,,,,
intra_abdominal_sepsis,T,String,yes,no,,,,,,,
line_sepsis,T,String,yes,no,,,,,,,
hepatic_failure_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with fulminant hepatic failure during hospital stay",1,
ards_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with ARDS during hospital stay",1,
hemorrhage_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with hemorrhage during hospital stay",1,
severe_pancreatitis_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with severe pancreatitis during hospital stay",1,
pulmonary_emboli_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with pulmonary emboli during hospital stay",1,
uti_approx,T,String,yes,no,,,,,,,
pneumonia_approx,T,String,yes,no,,,,,,,
urosepsis_approx,T,String,yes,no,,,,,,,
biliary_sepsis_approx,T,String,yes,no,,,,,,,
peritonitis_approx,T,String,yes,no,,,,,,,
pneumonia_sepsis_approx,T,String,yes,no,,,,,,,
line_sepsis_approx,T,String,yes,no,,,,,,,
cellulitis_approx,T,String,yes,no,,,,,,,
ards_approx,T,String,yes,no,,,,,,,
hospital,S,String,yes,no,,,,,Demographic,1,hospital name
admittime,S,String,yes,no,,,,,Demographic,1,timestamp time of admit time
