dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
5,hepatic_failure_update,derive,1 at estimated time of hepatic failure diagnosis
5,fluids_intake_1hr,derive,sum up fluids intake within 1 hour
5,convert_to_mcg_kg_min,transform,if dose is not null and assert unit is mcg/kg/min then return real(dose)
5,neurologic_sofa_update,derive,ref Arch folder
5,convert_to_mcg_min,transform,convert value to mcg/min
5,fluids_intake_24hr,derive,sum up fluids intake within 24 hours
5,sirs_raw_update,derive,ref Arch folder
5,convert_inhosp_to_json,transform,"{""diagname"":string, ""ischronic"":1/0, ""present on admission"":string}"
5,worst_sofa_update,derive,ref Arch folder
5,any_organ_failure_update,derive,ref Arch folder
5,get_diastolic,transform,"BP is reported as a string in the form of ""140/70"". GetDiastolic returns the value after the ""/"" char. Ignore the entry row if it's null."
5,hypotension_intp_update,derive,ref Arch folder
5,threshold_creatinine,transform,"threshold(0.1, 40)"
5,threshold_lactate,transform,"threshold(0.2, 40)"
5,jh_pressor_update,derive,ref Arch folder
5,beta_blocker_update,derive,"1 if any beta-blocker given at tsp, 0 otherwise. See Arch for specific medications."
5,glucocorticoid_update,derive,"1 if any glucocorticoid given at tsp, 0 otherwise. See Arch for specific medications."
5,convert_salmeterol_dose,transform,use default_convert_dose function and convert all does > 4.0 to 4.0
5,convert_to_mmol,transform,if reference_unit == 'mEq/L' return value
5,threshold_hemoglobin,transform,"threshold(4 , 20)"
5,any_antibiotics_order_update,derive,any antibiotics order has been placed
5,mapm_update,derive,ref Arch folder
5,threshold_gcs,transform,"threshold(3, 15)"
5,gi_bleed_update,derive,calculate gi_bleed
5,convert_lab_value_to_real,transform,convert value to float and transform <float or >float to float
5,resp_sofa_update,derive,ref Arch folder
5,threshold_abp_mean,transform,"threshold(20 , 170)"
5,threshold_fio2,transform,"threshold(20, 100)"
5,anticoagulant_update,derive,"1 if any anticoagulant given at tsp, 0 otherwise. See Arch for specific medications."
5,convert_pao2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
5,convert_vasopressin_to_unit,transform, convert vasopressin in Unit
5,convert_catheter_to_binary,transform,"1 when catheter present, 0 prior to insertion and after removal"
5,minutes_since_any_antibiotics_update,derive,ref Arch folder
5,sufficient_fluid_replacement_update,derive,ref Arch folder
5,stroke_update,derive,1 at estimated time of stroke diagnosis
5,transform_sodium,transform,transform sodium to mmol
5,urine_output_24hr,derive,ref Arch folder
5,threshold_paco2,transform,"threshold(5, 100)"
5,fluid_resuscitation_update,derive,ref Arch folder
5,obstructive_pe_shock_update,derive,ref Arch folder
5,cast_string_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
5,pao2_to_fio2_update,derive,PaO2/FiO2
5,get_systolic,transform,"BP is reported as a string in the form of ""140/70"". GetSystolic returns the value before the ""/"" char"
5,minutes_to_shock_onset_update,derive,ref Arch folder
5,sirs_temperature_oor_update,derive,ref Arch folder
5,any_inotrope_update,derive,need description
5,any_antibiotics_update,derive,need description
5,extract_fluids_intake,transform,extract fluids intake from MAR into volumns
5,cardio_sofa_update,derive,ref Arch folder
5,threshold_hematocrit,transform,"threshold(15, 60)"
5,convert_propofol_to_mg,transform, convert propofol in mg or mcg/kg/min to mg
5,severe_pancreatitis_update,derive,1 at estimated time of severe pancreatitis diagnosis
5,convert_paco2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
5,time_since_last_measured,derive,calculate minutes since last measured value
5,convert_vancomycin_dose_to_mg,transform,convert_vancomycin_dose_to_mg
5,vasopressor_update,derive,ref Arch folder
5,convert_to_ngdl,transform,convert ng/mL to ng/dl by dividing 100
5,urine_output_6hr,derive,ref Arch folder
5,last_value_in_window,fillin,"fills in values from the last value in the window, if not available, fills in from population mean"
5,acute_pancreatitis_update,derive, ref Arch folder
5,renal_sofa_update,derive,ref Arch folder
5,threshold_co2,transform,"threshold(0.1, 55)"
5,convert_to_given_dose,transform,directly load the dose when the action is in the default given action set
5,change_since_last_measured,derive,calculate measurement change since last measured value
5,convert_to_mg,transform,if MedUnit =='g' then Dose = Dose * 1000 ------- if MedUnit == 'mcg' then Dose = Dose / 1000 --- if MedUnit =='mg of piperacillin' then Dose = Dose;
5,mi_update,derive,calculate mi
5,threshold_pao2,transform,"threshold(0.1, 500)"
5,suspicion_of_infection_update,derive,ref Arch folder
5,threshold_nbp_sys,transform,"threshold(30 , 250)"
5,convert_dialysis_to_binary,transform,indicator 1 when dialysis performed
5,metabolic_acidosis_update,derive,calculate metabolic acidosis
5,fillin,fillin,Fills the missing data in a TWF feature by copying the latest valid value to the gap
5,sirs_resp_oor_update,derive,ref Arch folder
5,convert_penicillin_dose,transform,convert to million unit
5,convert_ounces_to_kg,transform,Convet Onces (weight) to Kgs
5,piperacillin_tazbac_dose_to_mg,transform,"if unit == 'mg of piperacillin', then return the value in mg; else return convert_to_mg"
5,threshold_abp_sys,transform,"threshold(30 , 300)"
5,load_discharge_json,transform,load discharge into json format including department and disposition
5,convert_amoxicillin_dose_to_mg,transform,if MedUnit=='tablet' then Dose = Dose*medication_unit
5,acute_kidney_failure_update,derive,1 at estimated time of kidney failure diagnosis
5,pulmonary_emboli_update,derive,1 at estimated time of pulmonary emboli diagnosis
5,treatment_within_6_hours_update,derive,Indicator of whether a treatment was received in past 6 hours
5,convert_care_unit_hc_epic,transform,generate care_unit for HC_EPIC
5,threshold_temperature,transform,"threshold(80, 110)"
5,sirs_intp_update,derive,ref Arch folder
5,any_pressor_update,derive,need description
5,vasopressor_resuscitation_update,derive,ref Arch folder
5,hematologic_sofa_update,derive,ref Arch folder
5,convert_co2_to_real,transform,convert co2 to real
5,septic_shock_update,derive,ref Arch folder
5,convert_arterial_ph_to_real,transform,if value == '<6.79' then 6.79; else return float(value)
5,convert_inr_to_real,transform,if value start with '>' then return real(value[1:]); else return real(value)
5,sirs_wbc_oor_update,derive,ref Arch folder
5,convert_creatinine_to_real,transform,if value == '<0.1' then 0.1; else return real(value)
5,acute_organ_failure_update,derive,ref Arch folder
5,default_convert_dose,transform,directly convert dose
5,threshold_weight,transform,"threshold(20, 300)"
5,fluids_intake_3hr,derive,sum up fluids intake within 3 hours
5,threshold_heart_rate,transform,"threshold(20, 300)"
5,threshold_wbc,transform,"threshold(0.01, 70)"
5,hemorrhagic_shock_update,derive,TBD
5,convert_bun_to_real,transform,if value == '<3' then 3; else return real(value)
5,shock_idx_update,derive,ref Arch folder
5,minutes_since_last_cmi_update,derive,ref Arch folder
5,ards_update,derive,1 at estimated time of ARDS diagnosis
5,sbpm_update,derive,ref Arch folder
5,bronchitis_update,derive,1 at estimated time of bronchitis diagnosis
5,threshold_bun,transform,"threshold(0.1, 180)"
5,minutes_since_organ_fail_update,derive,ref Arch folder
5,convert_proc_to_boolean,transform,load start and end time
